n_components,cumulative_variance
1,0.07038792837251168
2,0.10326568502959811
3,0.12227486663187372
4,0.13663234298418994
5,0.1495635385982206
6,0.16208871788276052
7,0.17404576765723173
8,0.18540096441127155
9,0.19628213466839275
10,0.20628591525957266
11,0.21553488266445558
12,0.22445892668720238
13,0.2330741803969752
14,0.24137469807592524
15,0.24933354762727283
16,0.25695754692649164
17,0.26401781919635353
18,0.2710288095787257
19,0.27761865027203514
20,0.2840251335556539
21,0.29036356826877385
22,0.2965305263820368
23,0.3024749811524121
24,0.30832280371738396
25,0.3139520612775984
26,0.3195187749200643
27,0.32495330371187914
28,0.3303016190502288
29,0.3355685532981035
30,0.3406902728241421
31,0.3457228238244614
32,0.35066063709999257
33,0.3555578310795259
34,0.36032851358119666
35,0.3650710376277964
36,0.36973348843223214
37,0.37424853248762546
38,0.3787494429721802
39,0.3831965815815527
40,0.38759756468956724
41,0.3919684803401877
42,0.39625235775534967
43,0.4004350731025544
44,0.4046001154493571
45,0.4087256320526098
46,0.4127862010588119
47,0.4168289360318856
48,0.4208538032362232
49,0.4248309659521584
50,0.4287485356075168
51,0.43264119050112154
52,0.43645731929902926
53,0.4402491170578282
54,0.44399497803509863
55,0.44771043602474586
56,0.45140752655463223
57,0.4550587346805868
58,0.4586516577226612
59,0.46219723619255404
60,0.46569735408753954
61,0.46913425018673355
62,0.4725594973845279
63,0.47597607892033184
64,0.4793714335329666
65,0.48272832325748327
66,0.4860597702545187
67,0.48937612693386917
68,0.4926561559892817
69,0.49590338738026357
70,0.49913711305273745
71,0.5023279848809156
72,0.5055043735779435
73,0.5086609249758357
74,0.511789201718382
75,0.5148881740784204
76,0.5179491151467903
77,0.5209718208013988
78,0.5239721462000624
79,0.5269524327656517
80,0.529916112695642
81,0.5328487388791232
82,0.5357555715592853
83,0.5386502994171565
84,0.5415206270917011
85,0.5443704053787097
86,0.5472012352803518
87,0.5500050272324202
88,0.5527891281328526
89,0.5555591482994023
90,0.5583084535564438
