rank,entity,total_mentions,literature,miviludes,interviews
217,delusion,26,26,0,0
218,jews,26,26,0,0
219,conspiracy theories,26,26,0,0
220,beliefs,26,26,0,0
221,gender roles,26,26,0,0
222,gurdjieff,26,26,0,0
223,gender,26,26,0,0
224,koresh,26,26,0,0
225,marshall applewhite,26,26,0,0
226,guru,26,26,0,0
227,cc,26,26,0,0
228,universal church of the kingdom of god,26,26,0,0
229,inform,26,26,0,0
230,swaminarayan hinduism,26,26,0,0
231,zcc,26,26,0,0
232,marlene dixon,26,26,0,0
233,bible society,26,26,0,0
234,individuals,25,25,0,0
235,myth,25,25,0,0
236,l. ron hubbard,25,25,0,0
237,muslims,25,25,0,0
238,western esotericism,25,25,0,0
239,sun myung moon,25,25,0,0
240,schreber,25,25,0,0
241,maharishi,25,25,0,0
242,cut,25,25,0,0
243,goddess feminists,25,25,0,0
244,new apostolic church,25,25,0,0
245,reconstructionists,25,25,0,0
246,local church,25,25,0,0
247,vissarionovtsy,25,25,0,0
248,pagans,24,24,0,0
249,manson family,24,24,0,0
250,exit counseling,24,24,0,0
251,former members,24,24,0,0
252,rajneeshpuram,24,24,0,0
253,fbi,24,24,0,0
254,hinduism,24,22,2,0
255,rituals,24,24,0,0
256,next level,24,24,0,0
257,osho movement,24,24,0,0
258,roman catholic church,24,24,0,0
259,catholic,24,24,0,0
260,goddess movement,24,24,0,0
261,clapham,24,24,0,0
262,baha'i,23,23,0,0
263,won buddhism,23,23,0,0
264,unificationism,23,23,0,0
265,order of the solar temple,23,23,0,0
266,saints,23,22,0,1
267,waco,23,23,0,0
268,new religious movements (nrms),23,23,0,0
269,christian identity,23,23,0,0
270,spirit,23,23,0,0
271,hubbard,23,23,0,0
272,simon kimbangu,23,23,0,0
273,calvinism,23,23,0,0
274,sierra leone company,23,23,0,0
275,christians,22,22,0,0
276,battle,22,22,0,0
277,russia,22,22,0,0
278,christian,22,22,0,0
279,devotees,22,22,0,0
280,leadership,22,22,0,0
281,identity movement,22,22,0,0
282,healing,22,22,0,0
283,friends of the western buddhist order,22,22,0,0
284,hoa hao,22,22,0,0
285,sectaires,22,3,19,0
286,sant'egidio,22,22,0,0
287,adl,22,22,0,0
288,sufi saints,22,22,0,0
289,united states,21,21,0,0
290,trust,21,21,0,0
291,theology,21,21,0,0
292,charles manson,21,14,0,7
293,families,21,19,2,0
294,atf,21,21,0,0
295,elohim,21,21,0,0
296,david berg,21,21,0,0
297,ge,21,21,0,0
298,humanistic judaism,21,21,0,0
299,mother meera,21,21,0,0
300,kyodan,21,21,0,0
301,tian dao,21,21,0,0
302,reconstructionist,21,21,0,0
303,unifi cation church,21,21,0,0
304,tenskwatawa,21,21,0,0
305,sierra leone,21,21,0,0
306,george stephen,21,21,0,0
307,converts,20,20,0,0
308,mass suicide,20,20,0,0
309,exodus,20,20,0,0
310,ideology,20,18,0,2
311,witches,20,20,0,0
312,unificationists,20,20,0,0
313,raelian movement international,20,20,0,0
314,joseph smith,20,20,0,0
315,subud,20,20,0,0
316,catholic apostolic church,20,20,0,0
317,prophets,20,19,0,1
318,promise keepers,20,20,0,0
319,holistic health movement,20,20,0,0
320,kristo asafo,20,20,0,0
321,mau mau,20,20,0,0
322,gary north,20,20,0,0
323,constitutional monarchy,20,20,0,0
324,dargah,20,20,0,0
325,rabi'a,20,20,0,0
326,anti-cultists,19,19,0,0
327,the way international,19,19,0,0
328,magic,19,19,0,0
329,organization,19,19,0,0
330,disaffiliation,19,19,0,0
331,hare krishna movement,19,19,0,0
332,love family,19,19,0,0
333,nrm members,19,19,0,0
334,religious experience,19,19,0,0
335,stark,19,19,0,0
336,mormon church,19,19,0,0
337,eileen barker,19,19,0,0
338,cags,19,19,0,0
339,sexuality,19,19,0,0
340,louis farrakhan,19,19,0,0
341,kimbanguists,19,19,0,0
342,sangharakshita,19,19,0,0
343,maharishi mahesh yogi,19,19,0,0
344,pagan,19,19,0,0
345,riel,19,19,0,0
346,henry v enn,19,19,0,0
347,sociologists,18,18,0,0
348,modernity,18,18,0,0
349,ufo religions,18,18,0,0
350,reincarnation,18,18,0,0
351,krishna consciousness,18,18,0,0
352,risk,18,18,0,0
353,catholics,18,16,0,2
354,mormonism,18,18,0,0
355,abuse,18,17,1,0
356,gurus,18,17,1,0
357,goddess,18,18,0,0
358,est,18,18,0,0
359,alice bailey,18,18,0,0
360,esotericism,18,18,0,0
361,paranoid delusions,18,18,0,0
362,ssehv,18,18,0,0
363,american family foundation,18,18,0,0
364,shamanism,18,18,0,0
365,human potential movement,18,18,0,0
366,raelian church,18,18,0,0
367,satanic groups,18,18,0,0
368,heaven's gate cult,18,18,0,0
369,satanic practice,18,18,0,0
370,agency committee,18,18,0,0
371,rajpur,18,18,0,0
372,spiritual baptists,18,18,0,0
373,victimes de dérives sectaires,18,0,18,0
374,hypnosis,17,17,0,0
375,thought reform,17,17,0,0
