n_components,cumulative_variance
1,0.03031572180189569
2,0.058183950734207415
3,0.08088097864676487
4,0.10009555487018007
5,0.11781181779394997
6,0.13390863203990602
7,0.14868368710204635
8,0.16233034457494658
9,0.17532285270145115
10,0.18745406896532193
11,0.19855986527025632
12,0.20922272420157528
13,0.21940595744244423
14,0.22906170094734885
15,0.23829986761173
16,0.24711886088216098
17,0.2555789733835066
18,0.26392875619017875
19,0.27193872439218947
20,0.2797549249376358
21,0.2874935704866515
22,0.2947822496453128
23,0.30183742036749034
24,0.30866276281822275
25,0.3152557041357554
26,0.32177601334603184
27,0.3280467969880934
28,0.33426486210726786
29,0.3404132538122216
30,0.3464232279264539
31,0.3523049929413239
32,0.35795403914512075
33,0.3634828967973758
34,0.36896996842383367
35,0.37428142011281335
36,0.37956287658496746
37,0.3845990304738934
38,0.38960275388399784
39,0.3945944565851056
40,0.3995223140453535
41,0.4044270089860623
42,0.40906785366402776
43,0.413676864292794
44,0.4182542011002701
45,0.4227249989407948
46,0.4271332404263303
47,0.4315202753781872
48,0.43583049751117
49,0.4401020854659043
50,0.4443127345980724
51,0.448410959291955
52,0.45249754904802836
53,0.4565376081632726
54,0.460559658267502
55,0.4644751533127456
56,0.46834468376905325
57,0.4721903170270272
58,0.47601714803664075
59,0.47980474010076535
60,0.4834672751141783
61,0.48711585141925856
62,0.49070843253361235
63,0.4942526212413203
64,0.4977750496845804
65,0.5012768109539802
66,0.5047326037996666
67,0.5081581231221555
68,0.5115566348031096
69,0.5149249296740881
70,0.5182498894251253
71,0.5215554220350352
72,0.5248122689181782
73,0.52804235668366
74,0.5312493967115356
75,0.5344523740323918
76,0.5376334556478963
77,0.5407568550802163
78,0.5438644803437371
79,0.5469319509701223
80,0.549993804137279
81,0.5530453544227012
82,0.5560646181193714
83,0.5590443266008318
84,0.5620019324506705
85,0.5649362729229594
86,0.5678512005755169
87,0.5707462248156409
88,0.5736167201844915
89,0.5764504451428368
90,0.5792747575693277
91,0.5820385681269803
92,0.5847864675943353
93,0.5875177962445656
94,0.5902234357268493
95,0.5928934325173297
96,0.5955585423618168
97,0.5982142341117707
98,0.600830297689937
99,0.6034278480981637
100,0.6059979258653637
101,0.6085499441984256
102,0.6110688574477897
103,0.6135726853452576
104,0.6160705039690567
105,0.6185538730789188
106,0.6210053129503948
107,0.6234381016895061
108,0.625867006201224
109,0.6282854689772841
110,0.6306821152425582
111,0.6330641956171034
112,0.6354246666771681
113,0.6377713948823034
114,0.6400940934878079
115,0.6424088712499211
116,0.6446937127467344
117,0.6469591361832623
118,0.6492155400688515
119,0.6514642525990056
120,0.6537014061558727
121,0.655919976815414
122,0.6581345159518266
123,0.6603276501696537
124,0.6625032424887524
125,0.6646565954428048
126,0.6667969074654595
127,0.6689199356856185
128,0.671036413415719
129,0.6731400691470217
130,0.6752147171212876
131,0.677279960363701
132,0.6793389059406615
133,0.6813682716742593
134,0.6833917611890983
135,0.6854034533392129
136,0.6873875622770894
137,0.689366094681635
138,0.6913414269652861
139,0.6933091422300551
140,0.6952627202766679
141,0.6972118982107823
142,0.6991380209401721
143,0.7010573988397096
144,0.7029650573452783
145,0.7048553201767667
146,0.7067274451921478
147,0.708581585112973
148,0.7104270434595078
149,0.7122497223632651
150,0.7140652926650177
151,0.7158707976060223
152,0.7176639894215964
153,0.7194519572345506
154,0.7212246331151562
155,0.7229945796508178
156,0.7247370232958811
157,0.7264699973113554
158,0.7281908461254778
159,0.7299019154104339
160,0.7315991206097414
161,0.733290555391944
162,0.7349768030595715
163,0.7366551392704013
164,0.7383128799288072
165,0.7399676977576103
166,0.7416137998902206
167,0.7432483489294596
168,0.7448703749824045
