cluster_id,rank,key,label,euclidean_distance,cosine_similarity
0,1,the peoples temple,the peoples temple,0.37020314937908444,0.9431370983966688
0,2,peoples temple,peoples temple,0.40147206592496354,0.9276728670851465
0,3,people's temple,people's temple,0.42328290934107365,0.9161442892637462
0,4,peoples' temple,peoples' temple,0.4293530159465443,0.9128272842845415
0,5,temple of man,temple of man,0.6826017598121324,0.7323534392626465
0,6,temple,temple,0.7190929323087492,0.6995722917190756
0,7,jesus people,jesus people,0.740479174851425,0.6795672181704676
0,8,jesus people movement,jesus people movement,0.7514633465053362,0.669064567860244
0,9,the solar temple,the solar temple,0.7567301968194401,0.663973978657433
0,10,underground temple,underground temple,0.7611800354120364,0.6596449086249213
1,1,the branch davidians,the branch davidians,0.48838857343426517,0.8892246554548345
1,2,branch davidians,branch davidians,0.4978568252134083,0.882723723501063
1,3,branch davidian,branch davidian,0.549786908651558,0.8448492441498475
1,4,davidians,davidians,0.6522386076719965,0.7591164046092063
1,5,davidian,davidian,0.7032442668914538,0.7109851335983071
1,6,david,david,0.7493744120389815,0.6643353058295111
1,7,father david,father david,0.751750085778109,0.6618524047836146
1,8,davidian compound,davidian compound,0.7877433207878823,0.6232772212643207
1,9,house of david,house of david,0.7988729639207077,0.6109835572070643
1,10,"koresh, david","koresh, david",0.8151172794406822,0.5927316404958993
2,1,the church of scientology,the church of scientology,0.3060571917275642,0.9589521180759938
2,2,church of scientology,church of scientology,0.33903020223489194,0.9463481695115779
2,3,scientology,scientology,0.363345583844332,0.9362281296615382
2,4,church of scientology international,church of scientology international,0.47192403058403093,0.8824876844168661
2,5,founding church of scientology,founding church of scientology,0.5858779429922006,0.8110602011272146
2,6,mormon church,mormon church,0.6475089250355561,0.7660171792225774
2,7,the book of mormon,the book of mormon,0.6506371669561285,0.7636109293764546
2,8,book of mormon,book of mormon,0.6522886098687359,0.7623359035712585
2,9,mormons,mormons,0.6798527084407593,0.7405775504628301
2,10,psychic phenomena,psychic phenomena,0.6832464204547068,0.7378363107221229
3,1,the heaven's gate suicides,the heaven's gate suicides,0.49656682439236094,0.8792004801939439
3,2,heaven's gate cult,heaven's gate cult,0.6572441224296253,0.7538175341992599
3,3,suicide,suicide,0.7120439015051798,0.7030689343178116
3,4,self-religion,self-religion,0.7459781757976534,0.6696068097520944
3,5,heaven's gate students,heaven's gate students,0.7529285702351655,0.6625612982389054
3,6,ufo cults,ufo cults,0.7555695570547838,0.6598666193678284
3,7,heaven's gate,heaven's gate,0.7684955498930256,0.6465434075911243
3,8,mass suicide,mass suicide,0.769505770428149,0.6454924885105813
3,9,satanic cults,satanic cults,0.772830532398139,0.6420245086552383
3,10,self-religions,self-religions,0.7751764401682399,0.6395681676994572
4,1,heaven's gate,heaven's gate,0.20683626715792902,0.9848487070685799
4,2,kingdom of heaven,kingdom of heaven,0.6417647266080858,0.7732486551360446
4,3,heaven's gate cult,heaven's gate cult,0.6961885365755683,0.7315015330817249
4,4,the kingdom of the cults,the kingdom of the cults,0.7041613298295073,0.7251006159207141
4,5,heaven,heaven,0.7232694710220428,0.7094631498395014
4,6,heaven's gate students,heaven's gate students,0.7237976673007971,0.7090249906321886
4,7,knights templar,knights templar,0.7396964437724883,0.695685197706261
4,8,ticket to heaven,ticket to heaven,0.7412933194378163,0.6943291700553956
4,9,exodus,exodus,0.747632413994355,0.6889179476165901
4,10,garden of eden,garden of eden,0.7486331693929174,0.6880594763879222
5,1,the international society for krishna consciousness,the international society for krishna consciousness,0.5176846864064838,0.8682570869133572
5,2,international society for krishna consciousness (iskcon),international society for krishna consciousness (iskcon),0.5355943261694364,0.8551638221957203
5,3,international society for krishna consciousness,international society for krishna consciousness,0.5593314296843748,0.8371244840846181
5,4,krishna consciousness,krishna consciousness,0.5914491055102211,0.8114709833438798
5,5,the hare krishna,the hare krishna,0.6232096205597929,0.7846949179657599
5,6,the hare krishna movement,the hare krishna movement,0.6361305001762827,0.7734010298512162
5,7,hare krishna movement,hare krishna movement,0.6388548633211074,0.7709901699477808
5,8,hare krishnas,hare krishnas,0.6551656882463603,0.7563407005584339
5,9,hare krishna,hare krishna,0.6880959010771829,0.725638688988577
5,10,krishna devotees,krishna devotees,0.6891992856201785,0.7245840440979505
6,1,raelian religion,raelian religion,0.49903268454736766,0.8750159056208666
6,2,raelian movement,raelian movement,0.5217197899738711,0.8596555916763089
6,3,raëlian religion,raëlian religion,0.5248981839313889,0.857449377895884
6,4,raelians,raelians,0.5552544723734871,0.8357005933615178
6,5,raëlians,raëlians,0.5741497537808807,0.821545892969316
6,6,raelian church,raelian church,0.5775621062406088,0.8189393170955965
6,7,rae ¨lian religion,rae ¨lian religion,0.5927747013577385,0.8071299959547387
6,8,raëlian church,raëlian church,0.6006361910011216,0.8009074276036603
6,9,raelian,raelian,0.6337042329909202,0.7738341851393724
6,10,ra ë lian movement,ra ë lian movement,0.6658358673294766,0.7461378230770859
7,1,the solar temple,the solar temple,0.35264757180415324,0.9519780732262507
7,2,solar temple,solar temple,0.40823729472730896,0.9247592390943455
7,3,the mystical apocalypse of the solar temple,the mystical apocalypse of the solar temple,0.5764571309995087,0.8181643063373609
7,4,order of the solar temple,order of the solar temple,0.6247036237610653,0.7808714764554474
7,5,temple,temple,0.6979246498795058,0.7185510770496786
7,6,underground temple,underground temple,0.703183053583747,0.7138099601975284
7,7,solar light retreat,solar light retreat,0.7471909016298763,0.6727359198800096
7,8,the peoples temple,the peoples temple,0.751436291705128,0.6686418092137048
7,9,people's temple,people's temple,0.7560347637345414,0.6641809766117384
7,10,temple of love,temple of love,0.7571490957006395,0.6630958208119149
8,1,falun gong,falun gong,0.3763509258612696,0.9365537740614029
8,2,falun dafa,falun dafa,0.6979023957022061,0.7205368982488267
8,3,falungong,falungong,0.7246883507642906,0.6967075199475901
8,4,zhong gong,zhong gong,0.8417857357948562,0.581997982773125
8,5,tao te ching,tao te ching,0.8509791535243466,0.5722657764166634
8,6,taoist,taoist,0.8554671037153591,0.56747650682784
8,7,taoism,taoism,0.8559685558030575,0.5669398009860687
8,8,confucius,confucius,0.8741866115409268,0.5472279705369596
8,9,tao,tao,0.8782537248546561,0.5427709115274408
8,10,chinese communists,chinese communists,0.8829812100500498,0.5375643669730406
9,1,nrms,nrms,0.28957710555698857,0.970416764792349
9,2,nrm,nrm,0.44724763730528466,0.8987505354384617
9,3,conversion to nrms,conversion to nrms,0.496184993484884,0.870269736224375
9,4,japanese nrms,japanese nrms,0.556683441174382,0.8309762595462961
9,5,nrm members,nrm members,0.5860944589822984,0.810242879351493
9,6,eastern-based nrms,eastern-based nrms,0.5902179261006806,0.8072509152880156
9,7,gender and nrms,gender and nrms,0.5914573374110542,0.8063470698601607
9,8,nrp,nrp,0.6599256124985288,0.7534931352112635
9,9,nrim,nrim,0.6731627176648745,0.742607146600206
9,10,new religious movements (nrms),new religious movements (nrms),0.6820309264184478,0.7351936189151844
10,1,new religious movements (nrms),new religious movements (nrms),0.29067953083985576,0.9640310420478937
10,2,new religions studies (nrs),new religions studies (nrs),0.5902456261526664,0.808127771618008
10,3,understanding new religious movements,understanding new religious movements,0.6786897026499349,0.7418248343609437
10,4,nrms,nrms,0.6953547920704358,0.7282970218038813
10,5,new religious movements,new religious movements,0.6962783977075071,0.7275379729079706
10,6,research network on new religions (renner),research network on new religions (renner),0.7090310935543244,0.7169499566502897
10,7,new religious movement,new religious movement,0.7119758524203665,0.7144780792874169
10,8,joining new religious movements,joining new religious movements,0.7216059866444534,0.7063220567831392
10,9,understanding the new religions,understanding the new religions,0.7235126213113223,0.7046940698080142
10,10,conversion and 'brainwashing' in new religious movements,conversion and 'brainwashing' in new religious movements,0.7260968256010297,0.702481313434804
11,1,nrms,nrms,0.6420417753131088,0.7669266946246056
11,2,gender and nrms,gender and nrms,0.6501217943122181,0.7599389202872675
11,3,new religious movements (nrms),new religious movements (nrms),0.6609320001175525,0.7504535962524854
11,4,conversion to nrms,conversion to nrms,0.6966492384534815,0.7180006968939654
11,5,eastern-based nrms,eastern-based nrms,0.7167770372049187,0.6989604354540603
11,6,nrm,nrm,0.7270733553502993,0.6890103889585251
11,7,nrm members,nrm members,0.7341682772880105,0.6820716199872955
11,8,japanese nrms,japanese nrms,0.7438830640698934,0.6724612253720701
11,9,new religions studies (nrs),new religions studies (nrs),0.7674361456876956,0.6486372549671411
11,10,nrp,nrp,0.8135466644824842,0.5998470744100954
12,1,godianism,godianism,0.6836359338055517,0.7314003362960195
12,2,goddess movement,goddess movement,0.7674760559647712,0.642387787766902
12,3,unificationist movement,unificationist movement,0.8089065380390971,0.594603687497126
12,4,african initiated churches,african initiated churches,0.8099920035510036,0.5933183605443821
12,5,kabbalism,kabbalism,0.8105453768670651,0.5926622218990676
