entity_key,entity_label,nearest_cluster_id,euclidean_distance,cosine_similarity
speculative freemasonry,speculative freemasonry,39,0.7218158354606593,0.6923841705360686
emanuel swedenborg,emanuel swedenborg,34,0.8647513999018508,0.5267509060006019
mesmer,mesmer,35,0.7987071202767306,0.6053861345870617
templarism,templarism,31,0.790021651945149,0.6219501915683745
alice bailey,alice bailey,35,0.7988216863104459,0.6052497647185853
i am,i am,35,0.748063199131301,0.6636788016438215
cathars,cathars,35,0.8427247386140522,0.5516196156220652
martin luther,martin luther,2,0.7694237347521707,0.6636557227977525
buddhist,buddhist,25,0.7610069215386871,0.6495677928188053
so ¯ka gakkai,so ¯ka gakkai,25,0.6738226369916396,0.7509642266399703
aum shinrikyo ¯,aum shinrikyo ¯,26,0.42623830112627487,0.9189385312876599
greek orthodox church,greek orthodox church,2,0.7493480838468914,0.6817227686438336
disciples of christ,disciples of christ,2,0.7060453971578219,0.7190675601546492
peoples temple,peoples temple,0,0.40147206592496354,0.9276728670851465
branch davidians,branch davidians,1,0.4978568252134083,0.882723723501063
worldwide church of god,worldwide church of god,32,0.6074129232767113,0.7988541698365318
national association of evangelicals,national association of evangelicals,32,0.7411554513335176,0.6726365628457192
soka gakkai,soka gakkai,25,0.6834037263097719,0.7404238645312285
united methodist church,united methodist church,32,0.727846698415054,0.6863182148485907
church,church,32,0.6127339880602585,0.7943105644550313
sect,sect,42,0.6899175777971004,0.7239196067602389
new religion,new religion,39,0.6141746994370143,0.7932692919324835
roman catholic church,roman catholic church,2,0.7065960724272097,0.7186062500875401
protestant,protestant,32,0.7382563697970737,0.6756380226484908
theravada buddhism,theravada buddhism,34,0.7919880854382613,0.6146546030983797
state shinto,state shinto,26,0.781729714551895,0.6354163609259598
sikhs,sikhs,24,0.7414247817924132,0.6715816665143697
belgian authorities,belgian authorities,36,0.8031458878106535,0.6009778567259578
christian theology,christian theology,14,0.711695303389054,0.7095310483458184
tenrikyo,tenrikyo,26,0.5995569553703262,0.8015546526874562
international churches of christ,international churches of christ,32,0.6617191381719219,0.750622392703564
latter-day saints,latter-day saints,32,0.7103967912028574,0.7038814596818035
jewish community,jewish community,24,0.6901010680648587,0.7285791770241681
the family,the family,37,0.42881575783161013,0.9168303559091956
cult awareness network,cult awareness network,39,0.7064291160351273,0.7078006749214532
singer,singer,25,0.79784141228928,0.6030259956973307
ofshe,ofshe,25,0.8265418315001486,0.5652376890000943
nova religio,nova religio,39,0.7192760269728984,0.6949517187036642
china,china,24,0.8187213394298517,0.5780274357314947
western nations,western nations,36,0.7718937075158795,0.637180835575723
berger,berger,35,0.9263120100705643,0.44158256835530735
bryan wilson,bryan wilson,35,0.8734054542518302,0.5124379408645909
bruce,bruce,25,0.8582331170867115,0.5219599580810534
islam,islam,24,0.6753992282686115,0.7441535632938265
hindu,hindu,25,0.7820795703002071,0.6232107248063815
latin america,latin america,2,0.8612099543975661,0.5749677577978578
sub-saharan africa,sub-saharan africa,33,0.8349104510709116,0.5698113564060237
rodney stark,rodney stark,25,0.8714117295388616,0.503483215573171
william sims bainbridge,william sims bainbridge,35,0.897543856961064,0.4806276711219956
secularization,secularization,39,0.761569970310447,0.6510144763606199
witchcraft,witchcraft,16,0.757920479120856,0.6535897612224462
usa,usa,36,0.7639533564560281,0.6461498581439307
sufism,sufism,34,0.740800633082062,0.6718671570529556
hindus,hindus,24,0.7474008008902785,0.6646797878488062
buddhists,buddhists,24,0.7475209697877372,0.6645399325626564
western countries,western countries,36,0.7758951807548932,0.6326254016883031
new agers,new agers,19,0.7000107353143776,0.7142531350280016
deepak chopra,deepak chopra,25,0.8460681689477728,0.5387648102060913
gaia hypothesis,gaia hypothesis,34,0.8764522193689075,0.5118943627065287
brahman,brahman,25,0.8115566906858368,0.585134563944488
westerners,westerners,35,0.7388115526188398,0.6739149639591274
linda woodhead,linda woodhead,35,0.8185251165177696,0.5815354362560341
