concept_id,concept_en,gloss_en,source,centrality_score
i113213,abnormality,an abnormal physical condition resulting from defective genes or developmental deficiencies,OMW (oewn:2024 via wn),55
i110684,physical condition,the condition or state of the body or bodily functions,OMW (oewn:2024 via wn),54
i68967,philosophical doctrine,a doctrine accepted by adherents to a philosophy,OMW (oewn:2024 via wn),53
i108181,linear unit,a unit of measurement of length,OMW (oewn:2024 via wn),53
i74099,obscenity,an offensive or indecent word or phrase,OMW (oewn:2024 via wn),52
i37873,football,any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal,OMW (oewn:2024 via wn),51
i70513,list,a database containing an ordered array of items (names or topics),OMW (oewn:2024 via wn),51
i75520,noise,sound of any kind (especially unintelligible or dissonant sound),OMW (oewn:2024 via wn),51
i109108,large integer,an integer equal to or greater than ten,OMW (oewn:2024 via wn),51
i39442,crime,(criminal law) an act punishable by law; usually considered an evil act,OMW (oewn:2024 via wn),50
i68647,physiology,the branch of the biological sciences dealing with the functioning of organisms,OMW (oewn:2024 via wn),49
i111828,animal disease,a disease that typically does not affect human beings,OMW (oewn:2024 via wn),49
i116868,day,a day assigned to a particular purpose or observance,OMW (oewn:2024 via wn),49
i108085,unit of measurement,any division of quantity accepted as a standard of measurement or exchange,OMW (oewn:2024 via wn),48
i68928,philosophy,the rational investigation of questions about existence and knowledge and ethics,OMW (oewn:2024 via wn),47
i92688,saint,a person who has died and has been declared a saint by canonization,OMW (oewn:2024 via wn),47
i114419,enzyme,any of several complex proteins that are produced by cells and act as catalysts in specific biochemical reactions,OMW (oewn:2024 via wn),47
i40497,war,the waging of armed conflict against an enemy,OMW (oewn:2024 via wn),46
i115832,paper,a material made of cellulose pulp derived mainly from wood or rags or certain grasses,OMW (oewn:2024 via wn),46
i70974,program,(computer science) a sequence of instructions that a computer can interpret and execute,OMW (oewn:2024 via wn),45
i74970,happening,an event that happens,OMW (oewn:2024 via wn),45
i35579,feeling,the experiencing of affective and emotional states,OMW (oewn:2024 via wn),44
i69182,political orientation,an orientation that characterizes the thinking of a group or nation,OMW (oewn:2024 via wn),44
i112835,rank,relative status,OMW (oewn:2024 via wn),44
i38643,medicine,the learned profession that is mastered by graduate training in a medical school and that is devoted to preventing or alleviating or curing diseases and injuries,OMW (oewn:2024 via wn),43
i61343,trait,a distinguishing feature of your personal nature,OMW (oewn:2024 via wn),43
i68951,logic,the branch of philosophy that analyzes inference,OMW (oewn:2024 via wn),43
i71833,statement,a message that is stated or declared; a communication (oral or written) setting forth particulars or facts etc,OMW (oewn:2024 via wn),43
i107076,coin,a flat metal piece (usually a disc) used as money,OMW (oewn:2024 via wn),43
i108079,number,a concept of quantity involving zero and units,OMW (oewn:2024 via wn),43
