concept_id,concept_en,gloss_en,total_mentions,literature_mentions,miviludes_mentions,interviews_mentions,n_corpora,is_generic
sc_0084,set,evil Egyptian god with the head of a beast that has high square ears and a long snout; brother and murderer of Osiris,252,251,0,1,2,true
sc_0085,history,a record or narrative description of past events,250,249,1,0,2,true
sc_0086,status,the relative position or standing of things or especially persons in a society,247,246,0,1,2,true
sc_0087,great,a person who has achieved distinction and honor in some field,245,244,0,1,2,true
sc_0088,influence,a power to affect persons or events especially power based on prestige etc,245,242,2,1,3,true
sc_0089,place,an abstract mental location,244,235,8,1,3,true
sc_0090,sect,a subdivision of a larger religious group,243,233,2,8,3,true
sc_0091,high,a lofty level or position or degree,242,241,0,1,2,true
sc_0092,conversion,a change in the units or form of an expression:,241,241,0,0,1,true
sc_0093,developed,being changed over time so as to be e.g. stronger or more complete or more useful,240,240,0,0,1,true
sc_0094,faith,a strong belief in a supernatural power or powers that control human destiny,240,240,0,0,1,true
sc_0095,means,to have the ability to produce a particular effect or achieve an end,239,238,0,1,2,true
sc_0096,legal,established by or founded upon law or official or accepted rules,238,238,0,0,1,true
sc_0097,present,something presented as a gift,236,235,1,0,2,true
sc_0098,true,proper alignment; the property possessed by something that is in correct or proper alignment,235,235,0,0,1,true
sc_0099,general,the head of a religious order or congregation,235,235,0,0,1,true
sc_0100,tradition,an inherited pattern of thought or action,235,234,1,0,2,true
sc_0101,certain,having or feeling no doubt or uncertainty; confident and assured,234,225,3,6,3,true
sc_0102,popular,"regarded with great favor, approval, or affection especially by the general public",234,234,0,0,1,true
sc_0103,particular,a fact about some part (as opposed to general),232,231,1,0,2,true
sc_0104,known,apprehended with certainty,231,231,0,0,1,true
sc_0105,small,a garment size for a small person,230,229,0,1,2,true
sc_0106,view,a way of regarding situations or topics etc.,227,225,0,2,2,true
sc_0107,death,the permanent end of all life functions in an organism or part of an organism,226,225,0,1,2,true
sc_0108,former,the first of two or the first mentioned of two,225,224,1,0,2,true
sc_0109,need,a condition requiring relief,224,218,2,4,3,true
sc_0110,given,an assumption that is taken for granted,223,222,0,1,2,true
