rank,entity,total_mentions,literature,miviludes,interviews
211,asahara,20,20,0,0
212,cags,20,20,0,0
213,elan vital,20,20,0,0
214,muhammad,20,20,0,0
215,qur'an,20,20,0,0
216,umbanda,20,20,0,0
217,brazil,20,20,0,0
218,aum shinriky ō,20,20,0,0
219,u.s.,19,19,0,0
220,latter-day saints,19,19,0,0
221,giddens,19,19,0,0
222,max weber,19,19,0,0
223,shinto,19,19,0,0
224,hermetic order of the golden dawn,19,19,0,0
225,australia,19,19,0,0
226,satanic,19,19,0,0
227,taliban,19,19,0,0
228,gerald gardner,19,19,0,0
229,glastonbury,19,19,0,0
230,batf,19,19,0,0
231,the children of god,19,19,0,0
232,moses,19,19,0,0
233,the two,19,19,0,0
234,taoism,19,19,0,0
235,guyana,19,19,0,0
236,democratic workers party,19,19,0,0
237,friends of the western buddhist order,19,19,0,0
238,soka gakkai international,19,19,0,0
239,toronto blessing,19,19,0,0
240,dion fortune,19,19,0,0
241,mungiki,19,19,0,0
242,party,19,19,0,0
243,sects,18,18,0,0
244,rodney stark,18,18,0,0
245,beckford,18,18,0,0
246,krishna,18,18,0,0
247,unificationist movement,18,18,0,0
248,reverend moon,18,18,0,0
249,mount carmel,18,18,0,0
250,muslim,18,17,0,1
251,lotus sutra,18,18,0,0
252,dramatic denouements,18,18,0,0
253,synanon,18,18,0,0
254,david,18,18,0,0
255,roman catholic,18,18,0,0
256,cambridge,18,18,0,0
257,church of england,18,18,0,0
258,age of aquarius,18,18,0,0
259,african independent churches,18,18,0,0
260,india,18,18,0,0
261,clarkson,18,18,0,0
262,sidi,18,18,0,0
263,moonie,17,17,0,0
264,black muslims,17,17,0,0
265,tibetan buddhism,17,17,0,0
266,sant mat,17,17,0,0
267,new testament,17,17,0,0
268,bainbridge,17,17,0,0
269,galanter,17,17,0,0
270,england,17,17,0,0
271,david bromley,17,17,0,0
272,islamism,17,17,0,0
273,melton,17,17,0,0
274,sai baba,17,17,0,0
275,unificationism,17,17,0,0
276,chicago,17,17,0,0
277,jesus christ,17,17,0,0
278,texas,17,17,0,0
279,transcendentalism,17,17,0,0
280,hannah more,17,17,0,0
281,the clapham sect,17,17,0,0
282,people's temple,16,16,0,0
283,subud,16,16,0,0
284,the way international,16,16,0,0
285,campbell,16,16,0,0
286,wallis,16,16,0,0
287,dalai lama,16,16,0,0
288,united kingdom,16,16,0,0
289,freecog,16,16,0,0
290,atf,16,16,0,0
291,nichiren,16,16,0,0
292,muslim brotherhood,16,16,0,0
293,seventh-day adventism,16,16,0,0
294,luc jouret,16,16,0,0
295,rosicrucianism,16,16,0,0
296,class,16,16,0,0
297,ecthr,16,16,0,0
298,nigeria,16,16,0,0
299,john,16,16,0,0
300,shamanism,16,16,0,0
301,divine principle,16,16,0,0
302,bhagwan shree rajneesh,16,16,0,0
303,malcolm x,16,16,0,0
304,moses david,16,16,0,0
305,kabbalah,16,16,0,0
306,engaged buddhism,16,16,0,0
307,elijah muhammad,16,16,0,0
308,vissarionovtsy,16,16,0,0
309,john thornton,16,16,0,0
310,bava gor,16,16,0,0
311,bhagwan rajneesh,15,15,0,0
312,baptists,15,15,0,0
313,self-realization fellowship,15,15,0,0
314,roy wallis,15,15,0,0
315,operating thetan,15,15,0,0
316,movement for the restoration of the ten commandments,15,15,0,0
317,japanese,15,15,0,0
318,the peoples temple,15,15,0,0
319,irs,15,15,0,0
320,ordo templi orientis,15,15,0,0
321,antichrist,15,15,0,0
322,dsm-iv,15,15,0,0
323,freud,15,15,0,0
324,lemuria,15,15,0,0
325,yoruba,15,15,0,0
326,the branch davidians,15,15,0,0
327,blavatsky,15,15,0,0
328,joseph di mambro,15,15,0,0
329,oxford,15,15,0,0
330,fair,15,15,0,0
331,goddess movement,15,15,0,0
332,unadfi,15,8,7,0
333,findhorn community,15,15,0,0
334,nrs,15,15,0,0
335,margaret singer,15,14,1,0
336,identity movement,15,15,0,0
337,tarot,15,15,0,0
338,candomblé,15,15,0,0
339,manson,15,15,0,0
340,sangharakshita,15,15,0,0
341,millenarianism,15,15,0,0
342,santo daime,15,15,0,0
343,self-religion,15,15,0,0
344,ghana,15,15,0,0
345,book of mormon,15,15,0,0
346,muslims,15,14,0,1
347,diggers,15,15,0,0
348,ents,15,15,0,0
349,henry thornton,15,15,0,0
350,meher baba,14,14,0,0
351,zen buddhism,14,14,0,0
352,protestant,14,14,0,0
353,journal for the scientific study of religion,14,14,0,0
354,rael,14,10,4,0
355,ti and do,14,14,0,0
356,switzerland,14,14,0,0
357,introvigne,14,14,0,0
358,european court of human rights,14,14,0,0
359,shupe,14,14,0,0
360,oxford university press,14,14,0,0
361,satanist,14,13,0,1
362,ramtha,14,14,0,0
363,bhagwan,14,13,0,1
364,movement for the restoration of the ten commandments of god,14,14,0,0
365,catholics,14,13,0,1
366,lucifer,14,14,0,0
367,newton,14,14,0,0
368,islamic,14,14,0,0
369,prabhupada,14,14,0,0
370,the solar temple,14,14,0,0
371,san francisco,14,14,0,0
372,moon,14,14,0,0
373,concerned relatives,14,14,0,0
374,li hongzhi,14,14,0,0
375,bhagavad gita,14,14,0,0
376,amish,14,14,0,0
377,gaia,14,14,0,0
378,berg,14,14,0,0
379,mary baker eddy,14,14,0,0
380,aladura,14,14,0,0
381,akashic records,14,14,0,0
382,cut,14,14,0,0
383,methodist,14,14,0,0
384,marxist-leninist,14,14,0,0
385,mourides,14,14,0,0
386,national socialist,14,14,0,0
387,wolves,14,14,0,0
388,rockwell,14,14,0,0
389,marlene dixon,14,14,0,0
390,pitt,14,14,0,0
391,buxton,14,14,0,0
392,babington,14,14,0,0
393,wilson,13,13,0,0
394,usa,13,13,0,0
395,new agers,13,13,0,0
396,journal of contemporary religion,13,13,0,0
397,anton lavey,13,13,0,0
398,christian scientists,13,13,0,0
399,silva mind control,13,13,0,0
400,the secret doctrine,13,13,0,0
401,hale-bopp comet,13,13,0,0
402,robert lifton,13,13,0,0
403,ghost dance,13,13,0,0
404,baha'i,13,13,0,0
405,palmer,13,13,0,0
406,unarius,13,13,0,0
407,santeria,13,13,0,0
408,uganda,13,13,0,0
409,james r. lewis,13,13,0,0
410,spiritism,13,13,0,0
411,korea,13,13,0,0
412,druidry,13,13,0,0
413,pakistan,13,13,0,0
414,annie besant,13,13,0,0
415,amorc,13,13,0,0
416,rosicrucian,13,13,0,0
417,french,13,13,0,0
418,holy order of mans,13,13,0,0
419,tantra,13,13,0,0
420,cog,13,13,0,0
421,maitreya,13,13,0,0
422,shiva,13,13,0,0
423,tibet,13,13,0,0
424,lord's resistance army,13,13,0,0
425,african,13,13,0,0
426,apa,13,13,0,0
427,prophet,13,13,0,0
428,mecca,13,13,0,0
429,violence and new religious movements,13,13,0,0
430,unifi cation church,13,13,0,0
431,ra ë l,13,13,0,0
432,jugendsekten,13,13,0,0
433,neo-shamanism,13,13,0,0
434,psychic phenomena,13,13,0,0
435,media trickery,13,13,0,0
436,national socialism,13,13,0,0
437,expanding universes,13,13,0,0
438,atroshi,13,13,0,0
439,american,12,12,0,0
440,sra,12,12,0,0
441,al-qaeda,12,12,0,0
442,salvation army,12,12,0,0
443,north america,12,12,0,0
444,new christian right,12,12,0,0
445,council of europe,12,12,0,0
446,italy,12,12,0,0
447,citizens freedom foundation,12,12,0,0
448,aff,12,12,0,0
449,satanism scare,12,12,0,0
450,maoism,12,12,0,0
451,snow,12,12,0,0
452,unificationist,12,12,0,0
453,book of revelation,12,12,0,0
454,american psychiatric association,12,12,0,0
455,hitler,12,12,0,0
456,cult,12,12,0,0
457,school of economic science,12,12,0,0
458,kingdom of heaven,12,12,0,0
459,violence,12,12,0,0
460,christians,12,12,0,0
461,cults in our midst,12,12,0,0
462,gandhi,12,12,0,0
463,marshall applewhite,12,12,0,0
464,berkeley,12,12,0,0
465,rogs,12,12,0,0
466,karl marx,12,12,0,0
467,cbt,12,12,0,0
468,discordianism,12,12,0,0
469,gnostic,12,12,0,0
470,yahweh,12,12,0,0
471,new kadampa tradition,12,12,0,0
472,lavey,12,12,0,0
473,brahmo samaj,12,12,0,0
474,ruhani satsang,12,12,0,0
475,ramakrishna,12,12,0,0
476,seicho-no-ie,12,12,0,0
477,stephen,12,12,0,0
478,soviet union,12,12,0,0
479,the self,12,12,0,0
480,eucharist,12,12,0,0
481,sri aurobindo,12,12,0,0
482,são paulo,12,12,0,0
483,lds,12,12,0,0
484,elizabeth clare prophet,12,12,0,0
485,thelema,12,12,0,0
486,sufi sm,12,12,0,0
487,thought reform and the psychology of totalism,12,12,0,0
488,american psychological association,12,11,1,0
489,brent,12,12,0,0
490,sierra leone company,12,12,0,0
491,freetown,12,12,0,0
492,mai mishra,12,12,0,0
493,center for studies on new religions,11,11,0,0
494,the new religious consciousness,11,11,0,0
495,western esotericism,11,11,0,0
496,world council of churches,11,11,0,0
497,christadelphians,11,11,0,0
498,krishnamurti,11,11,0,0
499,the church universal and triumphant,11,10,1,0
500,i am,11,11,0,0
501,international churches of christ,11,11,0,0
