corpus,document_id,language,extraction_method,pages,empty_pages,chars,words,non_nfc_codepoints,replacement_char,private_use,private_use_max_run,control_char,mojibake_seq,spaced_accent,isolated_capital,ligature_pattern,latin_ext_b_letters,greek_letters,cyrillic_letters,mixed_script_tokens,nbsp,soft_hyphen,hyphen_linebreak,cipher_lines,ligature_pattern_per_1k_words,isolated_capital_per_1k_words,spaced_accent_per_1k_words,mixed_script_tokens_per_1k_words,document_integrity_flag,notes,pages_jsonl_sha256
interviews,b1-aug08-2128,English,transcript,1,0,3210,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,913cf4532384d7ce6cca22190a6f5e5df883e1c0967f6773211f95fc89bb0fc8
interviews,b1-aug08-2137,English,transcript,1,0,4288,789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,cbceaf29901f6b94fabfa6d5520215214e3770e25d671f341e396c458a37fe4f
interviews,b1-aug08-2145,English,transcript,1,0,3608,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,abd6f85b1d0438b8e2043341157838157f493a87c77747730683358b439dbd7b
interviews,b1-aug09-2048,English,transcript,1,0,6698,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,4c751fca0a67444e8bc4fd3009723d86d65bbf78fca0181c48e6f2c8105d3d89
interviews,b1-aug09-2124,English,transcript,1,0,1322,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,2ef510213bccde316511270320e2c6019dc480cbba0da5018150f73fa6434221
interviews,b1-aug11-2011,English,transcript,1,0,5196,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,d81e86841cc7e17a35d207601d2480b0375e43a84fa84575f2876e57cb2acec9
interviews,b1-aug12-1231,English,transcript,1,0,3739,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,751bbe466fec38facbc768cede746ee57beb1b83199ee565b192c7f052e37ec0
interviews,b1-aug13-1342,English,transcript,1,0,8508,1554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,7951cfead3cc68ceae1cbea62e4d3d6f624daad532792857b4f6bc612563567e
interviews,b2-aug13-1832,English,transcript,1,0,3173,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,77ee04dee2c1411dfeb7e37911bbd24828c59beece9c9dda494074745d831d6a
interviews,b2-aug13-1840,English,transcript,1,0,1776,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,13d21b6f968fc6bc06cdfb9eb62bfd94823531425715816ed99179a8e9b6b7ca
interviews,b3-aug16-1514,English,transcript,1,0,1353,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,41f9e2d8b3cb3d8696234dbd569d8372a3bff7334a8a51cae21e4c27fe00544c
interviews,b3-aug16-1517,English,transcript,1,0,979,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,75be75c7250898785d3882e2ab172c2b6b3c3264db9a8133787b1c9564557d6d
interviews,b3-aug18-1645,French,transcript,1,0,1847,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,e94a7f943fa4f17023b1a81e0fb16d6aff21bd1d7ab099427166096f867bace6
interviews,b3-aug21-1932,French,transcript,1,0,1681,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,d9b370d35569d8da89d208816c226ae067b1952df4ebca0f8ff58c41896002ae
interviews,b3-aug22-2057,French,transcript,1,0,770,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,e0345c384a47b81a473bd55aa265579e9cab12f1b32ddc0a08499dcd62c8d19b
interviews,b3-aug22-2101,French,transcript,1,0,1528,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,b67d4aff306e672d571d0817a649627f40c41a4677b4a11fcd9195dc1c203e99
interviews,b3-aug23-1213,French,transcript,1,0,1414,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,a46be907735e3318aaa8facc558c662387e4cb2e04536310fdad23c985a3c6d0
interviews,ig-02,English,transcript,1,0,1442,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,50b3ba2ee807a4e4572f145e816c63ef3b4fff8060988672bf1355eb17a0ca3e
interviews,ig-03,English,transcript,1,0,1190,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,eb460c64e1528a91c2fd983fc65405ac8d5a57fead41898d2f6adb9a369e8bc3
interviews,ig-04,English,transcript,1,0,1466,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,e88636e39bb9121f1fb0b97e4e30cccf33564de8de36b9cc2f49d1e254aa2822
interviews,ig-05,English,transcript,1,0,709,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,94cd86cb70ffc4a3fc0e64b90205d566cd2cb767fa22acff9b6d20a2afb46666
interviews,ig-06,English,transcript,1,0,833,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,b99f0f6584303c74074688ed3225b35a99de06d553e7403927e3a99da35c7dc0
interviews,ig-07,English,transcript,1,0,1672,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,e57b788f05ef8f59c930ebbb03f80882f040364392d6da212b66eb738cd3ec4e
